well,strain,parent,plasmid,replicate
A1,blank,blank,blank,blank
A2,blank,blank,blank,blank
A3,blank,blank,blank,blank
A4,blank,blank,blank,blank
A5,blank,blank,blank,blank
A6,blank,blank,blank,blank
A7,blank,blank,blank,blank
A8,blank,blank,blank,blank
A9,blank,blank,blank,blank
A10,blank,blank,blank,blank
A11,blank,blank,blank,blank
A12,blank,blank,blank,blank
B1,blank,blank,blank,blank
B2,Free_Tn,Free_Tn,Free_Tn,1
B3,Free,Free,Free,1
B4,blank,blank,blank,blank
B5,pQBR30,pQBR30,pQBR30,1
B6,pQBR56,pQBR56,pQBR56,1
B7,pQBR57,pQBR57,pQBR57,1
B8,pQBR57_L,pQBR57_L,pQBR57_L,1
B9,pQBR102,pQBR102,pQBR102,1
B10,pQBR150,pQBR150,pQBR150,1
B11,pQBR103,pQBR103,pQBR103,1
B12,blank,blank,blank,blank
C1,blank,blank,blank,blank
C2,Free_Tn,Free_Tn,Free_Tn,2
C3,Free,Free,Free,2
C4,blank,blank,blank,blank
C5,pQBR30,pQBR30,pQBR30,2
C6,pQBR56,pQBR56,pQBR56,2
C7,pQBR57,pQBR57,pQBR57,2
C8,pQBR57_L,pQBR57_L,pQBR57_L,2
C9,pQBR102,pQBR102,pQBR102,2
C10,pQBR150,pQBR150,pQBR150,2
C11,pQBR103,pQBR103,pQBR103,2
C12,blank,blank,blank,blank
D1,blank,blank,blank,blank
D2,Free_Tn,Free_Tn,Free_Tn,3
D3,Free,Free,Free,3
D4,blank,blank,blank,blank
D5,pQBR30,pQBR30,pQBR30,3
D6,pQBR56,pQBR56,pQBR56,3
D7,pQBR57,pQBR57,pQBR57,3
D8,pQBR57_L,pQBR57_L,pQBR57_L,3
D9,pQBR102,pQBR102,pQBR102,3
D10,pQBR150,pQBR150,pQBR150,3
D11,pQBR103,pQBR103,pQBR103,3
D12,blank,blank,blank,blank
E1,blank,blank,blank,blank
E2,Free_Tn,Free_Tn,Free_Tn,4
E3,Free,Free,Free,4
E4,blank,blank,blank,blank
E5,pQBR30,pQBR30,pQBR30,4
E6,pQBR56,pQBR56,pQBR56,4
E7,pQBR57,pQBR57,pQBR57,4
E8,pQBR57_L,pQBR57_L,pQBR57_L,4
E9,pQBR102,pQBR102,pQBR102,4
E10,pQBR150,pQBR150,pQBR150,4
E11,pQBR103,pQBR103,pQBR103,4
E12,blank,blank,blank,blank
F1,blank,blank,blank,blank
F2,Free_Tn,Free_Tn,Free_Tn,5
F3,Free,Free,Free,5
F4,blank,blank,blank,blank
F5,pQBR30,pQBR30,pQBR30,5
F6,pQBR56,pQBR56,pQBR56,5
F7,pQBR57,pQBR57,pQBR57,5
F8,pQBR57_L,pQBR57_L,pQBR57_L,5
F9,pQBR102,pQBR102,pQBR102,5
F10,pQBR150,pQBR150,pQBR150,5
F11,pQBR103,pQBR103,pQBR103,5
F12,blank,blank,blank,blank
G1,blank,blank,blank,blank
G2,Free_Tn,Free_Tn,Free_Tn,6
G3,Free,Free,Free,6
G4,blank,blank,blank,blank
G5,pQBR30,pQBR30,pQBR30,6
G6,pQBR56,pQBR56,pQBR56,6
G7,pQBR57,pQBR57,pQBR57,6
G8,pQBR57_L,pQBR57_L,pQBR57_L,6
G9,pQBR102,pQBR102,pQBR102,6
G10,pQBR150,pQBR150,pQBR150,6
G11,pQBR103,pQBR103,pQBR103,6
G12,blank,blank,blank,blank
H1,blank,blank,blank,blank
H2,blank,blank,blank,blank
H3,blank,blank,blank,blank
H4,blank,blank,blank,blank
H5,blank,blank,blank,blank
H6,blank,blank,blank,blank
H7,blank,blank,blank,blank
H8,blank,blank,blank,blank
H9,blank,blank,blank,blank
H10,blank,blank,blank,blank
H11,blank,blank,blank,blank
H12,blank,blank,blank,blank
